row_id,measure,effectiveness,reason,reason_clean,sum_reason
7,fire,moderately,Giraffe are afraid of fire,got used to,Behavioral
11,fire,moderately,They are afraid of fire,got used to,Behavioral
16,fire,not,They are used to fire,got used to,Behavioral
17,fire,moderately,They come even when you light fire,got used to,Behavioral
88,fire,not,They are used to it,got used to,Behavioral
90,fire,not,They are used to it,got used to,Behavioral
92,fire,not,They are used to fire,got used to,Behavioral
93,fire,not,They are used to it,got used to,Behavioral
94,fire,not,They are used to it,got used to,Behavioral
100,fire,not,They are not afraid of fire I think they are used to it by now,got used to,Behavioral
118,fire,not,They are used to it,got used to,Behavioral
119,fire,not,They are used to fire,got used to,Behavioral
122,fire,not,They are used to it by now but it helps,got used to,Behavioral
123,fire,not,They are used to this,got used to,Behavioral
124,fire,not,They are used to fire,got used to,Behavioral
126,fire,not,They are used to it by now,got used to,Behavioral
127,fire,not,They are used to it,got used to,Behavioral
130,fire,not,They are used to this,got used to,Behavioral
