row_id,measure,effectiveness,reason,reason_clean,sum_reason
48,guard,moderately,Always alert to chase them away,chase away,Behavioral
49,guard,moderately,Always there to chase the girraffes away,chase away,Behavioral
50,guard,moderately,Present to prevent invasion,chase away,Behavioral
52,guard,moderately,They chase the girraffes when invaded,chase away,Behavioral
58,guard,Highly,They chase them but they still come,chase away,Behavioral
61,guard,Highly,They chase but still come around,chase away,Behavioral
62,guard,Highly,Chase them away,chase away,Behavioral
72,guard,moderately,Alert to chase them away,chase away,Behavioral
73,guard,moderately,Alert to chase the girraffes away,chase away,Behavioral
74,guard,moderately,They are alert to chase the girraffes,chase away,Behavioral
77,guard,Highly,They chase them using flashlight and making noise,chase away,Behavioral
78,guard,Highly,They chase them,chase away,Behavioral
79,guard,Highly,Chase them away,chase away,Behavioral
80,guard,Highly,They chase them when awake all night,chase away,Behavioral
81,guard,Highly,They chase them whenever they come,chase away,Behavioral
83,guard,Highly,They chase them but it wears them down and sleep,chase away,Behavioral
84,guard,Highly,They chase them,chase away,Behavioral
86,guard,Highly,We chase them,chase away,Behavioral
88,guard,Highly,We chase them away,chase away,Behavioral
90,guard,Highly,Chase them,chase away,Behavioral
91,guard,Highly,They chase them,chase away,Behavioral
92,guard,Highly,They chase them,chase away,Behavioral
93,guard,moderately,They chase them but still come,chase away,Behavioral
94,guard,moderately,They chase them,chase away,Behavioral
96,guard,Highly,They chase them away,chase away,Behavioral
98,guard,moderately,They chase them away,chase away,Behavioral
99,guard,Highly,They chase them away,chase away,Behavioral
101,guard,Highly,They chase them but sleep sometimes,chase away,Behavioral
105,guard,Highly,They chase them away,chase away,Behavioral
106,guard,Highly,They chase them away but some male giraffes are not afraid,chase away,Behavioral
108,guard,moderately,We chase them away,chase away,Behavioral
109,guard,moderately,They chase them away,chase away,Behavioral
110,guard,Highly,Chase them whenever enter,chase away,Behavioral
112,guard,Highly,They chase them,chase away,Behavioral
113,guard,moderately,They chase them away,chase away,Behavioral
117,guard,Highly,They chase them,chase away,Behavioral
118,guard,Highly,They chase them,chase away,Behavioral
119,guard,Highly,They chase them away,chase away,Behavioral
122,guard,Highly,When awake they chase them,chase away,Behavioral
128,guard,moderately,They chase them away,chase away,Behavioral
129,guard,moderately,They chase them but they still come back,chase away,Behavioral
130,guard,Highly,They chase them away,chase away,Behavioral
